Riwayat Transaksi
Mata uang:,IDR
Username:,tacticalized
Tanggal:,07/07/2026 -- 06/08/2026
ID Toko:,1327966164

Urutan,Waktu,Deskripsi,Jumlah,Catatan
1,06/08/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-110278,-
2,06/08/2026,Isi Saldo,100000,-
3,06/08/2026,Isi Saldo,50000,-
4,05/08/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-261785,-
5,05/08/2026,Isi Saldo,100000,-
6,05/08/2026,Isi Saldo,50000,-
7,05/08/2026,Isi Saldo,50000,-
8,05/08/2026,Isi Saldo,25000,-
9,04/08/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-281209,-
10,04/08/2026,Isi Saldo,100000,-
11,04/08/2026,Isi Saldo,100000,-
12,04/08/2026,Isi Saldo,100000,-
13,03/08/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-237219,-
14,03/08/2026,Isi Saldo,50000,-
15,03/08/2026,Isi Saldo,50000,-
16,03/08/2026,Isi Saldo,50000,-
17,03/08/2026,Isi Saldo,50000,-
18,02/08/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-119401,-
19,02/08/2026,Isi Saldo,100000,-
20,02/08/2026,Isi Saldo,50000,-
21,01/08/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-186510,-
22,01/08/2026,Isi Saldo,100000,-
23,01/08/2026,Isi Saldo,50000,-
24,01/08/2026,Isi Saldo,50000,-
25,31/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-201345,-
26,31/07/2026,Isi Saldo,50000,-
27,31/07/2026,Isi Saldo,50000,-
28,31/07/2026,Isi Saldo,50000,-
29,31/07/2026,Isi Saldo,50000,-
30,30/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-267850,-
31,30/07/2026,Isi Saldo,50000,-
32,30/07/2026,Isi Saldo,50000,-
33,30/07/2026,Isi Saldo,50000,-
34,30/07/2026,Isi Saldo,50000,-
35,30/07/2026,Isi Saldo,100000,-
36,29/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-234952,-
37,29/07/2026,Isi Saldo,50000,-
38,29/07/2026,Isi Saldo,50000,-
39,29/07/2026,Isi Saldo,50000,-
40,29/07/2026,Isi Saldo,100000,-
41,28/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-280272,-
42,28/07/2026,Isi Saldo,100000,-
43,28/07/2026,Isi Saldo,50000,-
44,28/07/2026,Isi Saldo,50000,-
45,27/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-101345,-
46,27/07/2026,Isi Saldo,100000,-
47,27/07/2026,Isi Saldo,50000,-
48,26/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-182904,-
49,26/07/2026,Isi Saldo,50000,-
50,26/07/2026,Isi Saldo,50000,-
51,26/07/2026,Isi Saldo,50000,-
52,25/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-208328,-
53,25/07/2026,Isi Saldo,100000,-
54,25/07/2026,Isi Saldo,50000,-
55,25/07/2026,Isi Saldo,25000,-
56,25/07/2026,Isi Saldo,50000,-
57,25/07/2026,Isi Saldo,50000,-
58,24/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-246637,-
59,24/07/2026,Isi Saldo,50000,-
60,24/07/2026,Isi Saldo,50000,-
61,24/07/2026,Isi Saldo,50000,-
62,24/07/2026,Isi Saldo,50000,-
63,24/07/2026,Isi Saldo,50000,-
64,23/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-523280,-
65,23/07/2026,Isi Saldo,50000,-
66,23/07/2026,Isi Saldo,50000,-
67,23/07/2026,Isi Saldo,50000,-
68,23/07/2026,Isi Saldo,50000,-
69,23/07/2026,Isi Saldo,50000,-
70,23/07/2026,Isi Saldo,50000,-
71,23/07/2026,Isi Saldo,50000,-
72,23/07/2026,Isi Saldo,50000,-
73,23/07/2026,Isi Saldo,50000,-
74,23/07/2026,Isi Saldo,50000,-
75,22/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-457080,-
76,22/07/2026,Isi Saldo,50000,-
77,22/07/2026,Isi Saldo,50000,-
78,22/07/2026,Isi Saldo,50000,-
79,22/07/2026,Isi Saldo,50000,-
80,22/07/2026,Isi Saldo,50000,-
81,22/07/2026,Isi Saldo,50000,-
82,22/07/2026,Isi Saldo,50000,-
83,22/07/2026,Isi Saldo,50000,-
84,22/07/2026,Isi Saldo,50000,-
85,21/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-404664,-
86,21/07/2026,Isi Saldo,50000,-
87,21/07/2026,Isi Saldo,50000,-
